,Unnamed: 0,drug_1,drug_2,context,label
0,0,3385,11960529,A2058,1
1,1,3385,24856436,A2058,1
2,2,3385,11977753,A2058,1
3,3,3385,387447,A2058,0
4,4,3385,3062316,A2058,1
5,5,3385,46926350,A2058,1
6,6,3385,176870,A2058,1
7,7,3385,5288382,A2058,1
8,8,3385,216453,A2058,1
9,9,3385,208908,A2058,1
10,10,3385,24964624,A2058,1
11,11,3385,24958200,A2058,1
12,12,3385,24748204,A2058,1
13,13,3385,11520894,A2058,1
14,15,3385,9826528,A2058,1
15,16,3385,216239,A2058,1
16,17,3385,5329102,A2058,1
17,18,3385,5394,A2058,1
18,19,3385,5311,A2058,1
19,20,11960529,216239,A2058,1
20,23,24856436,46926350,A2058,1
21,24,24856436,176870,A2058,1
22,25,24856436,5288382,A2058,1
23,26,24856436,208908,A2058,1
24,27,24856436,24964624,A2058,1
25,28,24856436,24958200,A2058,1
26,29,24856436,11520894,A2058,1
27,31,24856436,9826528,A2058,1
28,32,24856436,104842,A2058,1
29,33,24856436,216239,A2058,1
30,34,24856436,60700,A2058,1
31,35,11977753,46926350,A2058,1
32,36,11977753,46239015,A2058,1
33,37,11977753,498162,A2058,1
34,38,11977753,216239,A2058,1
35,39,387447,11960529,A2058,1
36,40,387447,11977753,A2058,1
37,43,387447,46239015,A2058,1
38,44,387447,104842,A2058,1
39,45,387447,216239,A2058,1
40,46,2567,11960529,A2058,1
41,47,2567,24856436,A2058,1
42,48,2567,11977753,A2058,1
43,49,2567,387447,A2058,1
44,50,2567,3062316,A2058,1
45,51,2567,46926350,A2058,1
46,52,2567,176870,A2058,1
47,53,2567,5288382,A2058,1
48,54,2567,216453,A2058,1
49,57,2567,24964624,A2058,1
50,58,2567,24958200,A2058,1
51,59,2567,24748204,A2058,1
52,60,2567,11520894,A2058,1
53,61,2567,46239015,A2058,1
54,64,2567,216239,A2058,0
55,65,2567,5329102,A2058,1
56,66,2567,5394,A2058,0
57,67,2567,5311,A2058,1
58,68,2907,11960529,A2058,1
59,69,2907,5394,A2058,1
60,70,3062316,11960529,A2058,0
61,71,3062316,11977753,A2058,1
62,72,3062316,46926350,A2058,1
63,73,3062316,5288382,A2058,0
64,74,3062316,11520894,A2058,1
65,76,3062316,498162,A2058,1
66,77,3062316,104842,A2058,1
67,78,3062316,216239,A2058,1
68,79,3062316,60700,A2058,1
69,80,5743,176870,A2058,0
70,81,5743,46239015,A2058,0
71,82,5743,216239,A2058,1
72,83,5743,5394,A2058,0
73,84,31703,11960529,A2058,0
74,85,31703,24856436,A2058,1
75,88,31703,46926350,A2058,1
76,91,31703,5288382,A2058,1
77,92,31703,208908,A2058,1
78,93,31703,24964624,A2058,0
79,94,31703,24958200,A2058,0
80,95,31703,24748204,A2058,0
81,96,31703,11520894,A2058,0
82,97,31703,46239015,A2058,0
83,98,31703,9826528,A2058,1
84,99,31703,216239,A2058,0
85,100,31703,5329102,A2058,0
86,101,31703,5394,A2058,0
87,102,31703,5311,A2058,1
88,103,176870,11977753,A2058,1
89,104,176870,387447,A2058,0
90,105,176870,3062316,A2058,1
91,106,176870,46926350,A2058,1
92,107,176870,5288382,A2058,1
93,108,176870,11520894,A2058,1
94,109,176870,46239015,A2058,1
95,110,176870,498162,A2058,0
96,111,176870,9826528,A2058,1
97,112,176870,104842,A2058,1
98,113,176870,216239,A2058,1
99,114,176870,60700,A2058,1
100,115,36462,24856436,A2058,1
101,116,36462,11977753,A2058,1
102,117,36462,387447,A2058,1
103,118,36462,3062316,A2058,0
